Category,Match Score,Missing Skills
ENGINEERING,29.41763722055851,"['numpy', 'scikit-learn', 'git']"
CONSULTANT,25.843046403343706,"['statistics', 'numpy', 'pandas', 'git', 'scikit-learn']"
BANKING,23.292508357329982,"['statistics', 'numpy', 'pandas', 'git', 'scikit-learn']"
AUTOMOBILE,21.46045172189198,"['scikit-learn', 'machine learning', 'git']"
CONSULTANT,21.081873434591046,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
AGRICULTURE,20.765987763904178,"['statistics', 'machine learning', 'numpy', 'git', 'scikit-learn']"
ARTS,20.503150721748238,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
DESIGNER,18.966422364542755,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AUTOMOBILE,18.856732003512676,"['numpy', 'scikit-learn', 'pandas', 'git']"
INFORMATION-TECHNOLOGY,17.84856676760348,"['statistics', 'machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
DIGITAL-MEDIA,17.22880723904344,"['statistics', 'machine learning', 'numpy', 'pandas', 'scikit-learn']"
SALES,17.117352662440844,"['numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
AGRICULTURE,16.822637326415784,"['statistics', 'machine learning', 'numpy', 'git', 'scikit-learn']"
SALES,16.68755537384243,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,15.076981077694168,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
ENGINEERING,14.912195195416356,"['machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
BANKING,14.550653742159646,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
INFORMATION-TECHNOLOGY,14.471527985627276,"['machine learning', 'numpy', 'pandas', 'git', 'scikit-learn']"
TEACHER,14.08958423415706,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'sql', 'scikit-learn']"
TEACHER,13.843903574662445,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
TEACHER,12.862420590263154,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'sql', 'scikit-learn']"
INFORMATION-TECHNOLOGY,12.723307110781882,"['statistics', 'machine learning', 'numpy', 'python', 'pandas', 'git', 'scikit-learn']"
